magnitude,cdi,mmi,sig,dmin,latitude,longitude,Year,Month,tsunami
6.6,7,5.0,899.0,1.634,-38.1911,-70.3731,2023,7,0
6.6,6,6.0,733.0,2.163,8.8894,-77.1231,2023,5,1
7.1,9,7.0,838.0,2.282,-0.781,98.5339,2023,4,0
7.0,5,3.0,818.0,1.881,-6.0255,112.033,2023,4,0
6.5,7,6.0,655.0,0.266,52.7772,158.484,2023,4,1
6.5,4,4.0,656.0,1.622,-23.4797,-66.5108,2023,3,0
6.5,7,5.0,1350.0,2.53,36.5227,70.9787,2023,3,0
6.8,9,7.0,1159.0,0.709,-2.851,-79.8001,2023,3,1
6.8,9,7.0,737.0,1.783,38.0726,73.2077,2023,2,0
7.5,9,9.0,1411.0,0.85,38.0235,37.203,2023,2,0
6.7,9,8.0,800.0,0.218,37.4135,36.8306,2023,2,0
6.8,4,3.0,718.0,5.129,-26.7209,-63.0394,2023,1,0
7.0,3,5.0,756.0,1.974,2.7401,127.051,2023,1,1
7.6,5,7.0,957.0,1.575,-7.0852,130.039,2023,1,0
7.0,8,7.0,768.0,6.096,-14.9383,166.878,2023,1,1
7.0,8,7.0,768.0,0.509,-9.7963,159.596,2022,11,1
7.0,3,3.0,755.0,3.125,-20.0508,-178.346,2022,11,1
6.7,7,6.0,797.0,1.151,7.6712,-82.3396,2022,10,1
6.8,8,7.0,1179.0,2.137,18.33,-102.913,2022,9,1
7.6,9,8.0,1799.0,1.153,18.3667,-103.252,2022,9,1
6.9,9,9.0,887.0,0.401,23.1444,121.307,2022,9,1
6.5,7,7.0,756.0,0.43,23.029,121.348,2022,9,1
7.6,8,8.0,965.0,3.158,-6.2237,146.471,2022,9,1
7.0,9,8.0,1351.0,5.276,17.5978,120.809,2022,7,1
7.2,7,5.0,876.0,2.494,-14.8628,-70.3081,2022,5,1
6.8,6,5.0,762.0,1.505,-23.6141,-66.7236,2022,5,1
6.7,8,7.0,806.0,0.289,23.3421,121.636,2022,3,1
6.7,9,6.0,708.0,2.188,-0.6831,98.6034,2022,3,0
6.5,8,6.0,690.0,3.026,-4.455,-76.9395,2022,2,0
